postepowanie;plik;ext;bytes;text_chars;relevant_name
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/Zał nr 3 do SWZ oświadczenie o grupie kapitałowej (5).pdf;.pdf;360187;2857;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/odpNaWezwa/Zał nr 5-B wykaz osób do SWZ (4).pdf;.pdf;310745;2980;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/offerty/1/ocds-148610-f5b29cbc-577d-4b20-b6dd-0f2bb505d0ba_114189_01_01.zip;.zip;1429240;0;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/offerty/2/ocds-148610-f5b29cbc-577d-4b20-b6dd-0f2bb505d0ba_48506_01_01.zip;.zip;473559;0;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/potw wys wezwania 08df13c1-049b-4f0d-f222-b00001003017-wiadomosc.pdf;.pdf;36506;980;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/otwarciiieee/wezwanie do złożenia podm śr dow MajsterBud.pdf;.pdf;1071697;2;True
RIN.271.1.11.2026 Elewacja BG;RIN.271.1.11.2026 Elewacja BG/wadiumm/wadium elewacja.pdf;.pdf;999589;2215;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/1_Protokół w tr podst LekOfinas.docx;.docx;44229;29519;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/Pytania/08df13cc-74ac-4dc5-f222-b00001004991-wiadomosc (1).pdf;.pdf;33842;1404;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/Pytania/1_Pytania i udzielone odpowiedzi LoFinans.docx;.docx;92827;2491;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/Pytania/1_Pytania i udzielone odpowiedzi LoFinans.pdf;.pdf;796966;1;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/SWZ Usługa/komisja/2_art 56 ust 3 oświadczenie w przed dniem otwarcia ofert.docx;.docx;18206;7196;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/SWZ Usługa/komisja/KOMISJA Z A R Z Ą D Z E N I E NR u.docx;.docx;17984;1313;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/SWZ Usługa/komisja/art 56 ust 2 oświadczenie w przed podpisniem umowy.docx;.docx;17001;8894;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/SWZ Usługa/komisja/zarządzenie zmieniające KOMISJA Z A R Z Ą D Z E N I E NR u.docx;.docx;17327;1501;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/SWZ Usługa.docx;.docx;62711;55208;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/08df1567-d038-721c-f222-b0000101a4e4-wiadomosc.pdf;.pdf;36603;995;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/1_Protokół w tr podst LekOfinan.docx;.docx;44220;29519;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/2_art 56 ust 3 oświad w przed dniem otwarcia ofert lek o finans.docx;.docx;17169;7246;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/3_Info o kwocie lek o finans.docx;.docx;92790;956;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/3_Info o kwocie lek o finans.pdf;.pdf;419522;1603;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/3_Infoa z OTWARCIA lekFinans-1.pdf;.pdf;425872;2243;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/3_Infoa z OTWARCIA lekFinans.docx;.docx;91482;1431;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/4_Info - wybór oferty RIN.271.1.12.2026 LekOfin.docx;.docx;94686;1841;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/4_Wezwanie - do złożenia oświadczeń lekOfinans-2.pdf;.pdf;320537;4114;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/5_DYSP ZWROTU WADIUM lekOfinans.docx;.docx;19793;2149;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/Informacja o wyborze oferty LekOfinan.pdf;.pdf;1001574;2;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/Informacja_z_otwarcia_ofert (32).docx;.docx;40451;918;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/Raport_z_przebiegu_otwarcia_ofert (27) (1).pdf;.pdf;99137;7770;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/Roboczy_plik_xml (1).xml;.xml;3716;3697;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/art 56 ust 2 oświad w przed podpisniem umowy lek finansach.docx;.docx;17955;11153;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/informacja_do_prezesa.xml;.xml;5817;5795;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/odpNaWez/08df1573-a321-2eca-f222-b0000101c05e-wiadomosc (1).pdf;.pdf;34341;1406;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/odpNaWez/Referencje (1).pdf;.pdf;515251;1;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/odpNaWez/Załącznik_nr_3_-_Oświadczenie_Wykonawcy_grupy_kapitałowej (1).pdf;.pdf;383942;2518;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/odpNaWez/Załącznik_nr_3_-_Oświadczenie_Wykonawcy_grupy_kapitałowej.pdf;.pdf;383942;2518;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/odpNaWez/Załącznik_nr_4_-_Wykaz_usług_wycieczek.pdf;.pdf;603850;2705;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/odpNaWez/Załącznik_nr_8_-_Oświadczenie_art_125_ust_1_PZP.pdf;.pdf;460347;2469;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/offerrtty/1/ocds-148610-d368337f-73cb-4c2f-814d-ce66b3b92466_112205_01_01.zip;.zip;530166;0;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/offerrtty/2/ocds-148610-d368337f-73cb-4c2f-814d-ce66b3b92466_134351_01_01.zip;.zip;3643002;0;False
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/offerrtty/4_Wezwanie - do złożenia oświadczeń lekOfinans.docx;.docx;95060;3024;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/otwoarcie/wybOferty08df17a4-2eda-1fbc-f222-b0000102130f-wiadomosc.pdf;.pdf;33534;1131;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/wadia/WADIUM finanse.pdf;.pdf;388485;1915;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/wadia/wadium Travel-line.pdf;.pdf;387662;1919;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/wniosek o wszczęcie przetargu.docx;.docx;24542;4813;True
RIN.271.1.12.2026 LekOfinansach;RIN.271.1.12.2026 LekOfinansach/załącznik nr 1 .docx;.docx;21569;8483;False
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/KOMISJA Z A R Z Ą D Z E N I E NR odp.docx;.docx;17964;1251;False
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odbór_odp_pszok.docx;.docx;65835;54808;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Dane.txt;.txt;0;0;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/SWZ_odbór_odp_pszok.txt;.txt;43342;41281;True
RIN.271.1.13.2026 transp Odpad;RIN.271.1.13.2026 transp Odpad/SWZ_odpPszok/Szacunek.xlsx;.xlsx;11319;403;True
